"Techstack","Links"
"Next.js, TypeScript, Tailwind, Appwrite, Healthcare, Web Development, Full Stack","https://github.com/ChavindaWijethilake/HealthcareSystem"
"JavaScript, TypeScript, PostgreSQL, SQL, Vault Drive, Backend, Database, Cloud Storage","https://github.com/ChavindaWijethilake/vaultDrive"
